# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.524000754071e-01       3.004360897763e+03 
       1.556268630836e-01       2.862830395936e+03 
       1.588536579605e-01       2.734188157890e+03 
       1.620804591066e-01       2.620298475448e+03 
       1.653072658490e-01       2.521797892576e+03 
       1.685340776791e-01       2.438182199626e+03 
       1.717608941955e-01       2.367971433721e+03 
       1.749877150684e-01       2.308955940301e+03 
       1.782145400177e-01       2.258440435056e+03 
       1.814413687986e-01       2.213520564515e+03 
       1.846682011934e-01       2.171665835213e+03 
       1.878950370048e-01       2.130307456630e+03 
       1.911218760527e-01       2.086923937855e+03 
       1.943487181711e-01       2.040024828467e+03 
       1.975755632062e-01       1.988866917131e+03 
       2.008024110152e-01       1.933486986465e+03 
       2.040292614644e-01       1.874596925721e+03 
       2.072561144293e-01       1.813417492963e+03 
       2.104829697929e-01       1.751437516149e+03 
       2.137098274455e-01       1.690207133530e+03 
       2.169366872843e-01       1.631127771020e+03 
       2.201635492122e-01       1.575380242537e+03 
       2.233904131382e-01       1.523809903393e+03 
       2.266172789761e-01       1.476944842185e+03 
       2.298441466449e-01       1.434987738175e+03 
       2.330710160680e-01       1.397820330448e+03 
       2.362978871731e-01       1.365051238192e+03 
       2.395247598917e-01       1.336028357742e+03 
       2.427516341591e-01       1.309935635047e+03 
       2.459785099138e-01       1.285855562076e+03 
       2.492053870978e-01       1.262878899354e+03 
       2.524322656559e-01       1.240184673411e+03 
       2.556591455357e-01       1.217119416535e+03 
       2.588860266876e-01       1.193227097472e+03 
       2.621129090641e-01       1.168264052346e+03 
       2.653397926205e-01       1.142195769587e+03 
       2.685666773138e-01       1.115159925826e+03 
       2.717935631034e-01       1.087446434588e+03 
       2.750204499505e-01       1.059458537583e+03 
       2.782473378180e-01       1.031649878858e+03 
       2.814742266707e-01       1.004503530915e+03 
       2.847011164749e-01       9.784506635293e+02 
       2.879280071983e-01       9.538344474591e+02 
       2.911548988104e-01       9.308788161382e+02 
       2.943817912816e-01       9.096689636508e+02 
       2.976086845839e-01       8.901685197918e+02 
       3.008355786904e-01       8.722378638410e+02 
       3.040624735754e-01       8.556668021040e+02 
       3.072893692141e-01       8.402043629960e+02 
       3.105162655831e-01       8.255782389167e+02 
       3.137431626596e-01       8.115114861710e+02 
       3.169700604220e-01       7.977517765530e+02 
       3.201969588493e-01       7.840813244366e+02 
       3.234238579216e-01       7.703187964105e+02 
       3.266507576197e-01       7.563609204780e+02 
       3.298776579251e-01       7.421732167096e+02 
       3.331045588201e-01       7.277858146695e+02 
       3.363314602876e-01       7.132848812513e+02 
       3.395583623113e-01       6.987921960048e+02 
       3.427852648753e-01       6.844506161535e+02 
       3.460121679645e-01       6.703819154358e+02 
       3.492390715643e-01       6.567065430520e+02 
       3.524659756605e-01       6.435352238712e+02 
       3.556928802395e-01       6.309285046892e+02 
       3.589197852884e-01       6.189399402369e+02 
       3.621466907945e-01       6.075831660420e+02 
       3.653735967456e-01       5.968411642687e+02 
       3.686005031299e-01       5.866615673720e+02 
       3.718274099363e-01       5.769614112669e+02 
       3.750543171536e-01       5.676469778711e+02 
       3.782812247714e-01       5.586232871503e+02 
       3.815081327794e-01       5.498009181815e+02 
