# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  111       4.108928666396e-10       1.245119551993e-13      -4.090829544182e-12       0.000000000000e+00       7.597086702482e-12       1.159933931663e-12      -6.471358959763e-15 
  112       4.153637632352e-10       1.261601128550e-13      -4.176644946318e-12       0.000000000000e+00       7.416487413279e-12       1.138876137864e-12      -6.424266422929e-15 
  113       4.198541531359e-10       1.277668343081e-13      -4.261705839323e-12       0.000000000000e+00       7.241574627118e-12       1.118402950498e-12      -6.377253434822e-15 
  114       4.243628417671e-10       1.293303500064e-13      -4.345935846511e-12       0.000000000000e+00       7.071953875072e-12       1.098471936362e-12      -6.329305004308e-15 
  115       4.288884858502e-10       1.308488983848e-13      -4.429257984695e-12       0.000000000000e+00       6.907169405467e-12       1.079033780457e-12      -6.279326708051e-15 
  116       4.334297819362e-10       1.323207749135e-13      -4.511595606664e-12       0.000000000000e+00       6.746804052857e-12       1.060043261819e-12      -6.226378138575e-15 
  117       4.379860674387e-10       1.337444839001e-13      -4.592875306899e-12       0.000000000000e+00       6.590796152378e-12       1.041494096859e-12      -6.170409351409e-15 
  118       4.425567847349e-10       1.351186070848e-13      -4.673024416182e-12       0.000000000000e+00       6.439158232864e-12       1.023387998981e-12      -6.111610944407e-15 
  119       4.471412920852e-10       1.364417586282e-13      -4.751970146860e-12       0.000000000000e+00       6.291878196835e-12       1.005723805467e-12      -6.050187047383e-15 
  120       4.517388609306e-10       1.377125865238e-13      -4.829639625141e-12       0.000000000000e+00       6.148918565864e-12       9.884973881778e-13      -5.986355576630e-15 
  121       4.563486731879e-10       1.389297740109e-13      -4.905959923389e-12       0.000000000000e+00       6.010215725944e-12       9.717015642484e-13      -5.920348489450e-15 
  122       4.609698185464e-10       1.400920409874e-13      -4.980858092429e-12       0.000000000000e+00       5.875679172856e-12       9.553260067878e-13      -5.852412038668e-15 
  123       4.656012917640e-10       1.411981454224e-13      -5.054261193835e-12       0.000000000000e+00       5.745190757535e-12       9.393571555775e-13      -5.782807027162e-15 
  124       4.702419899631e-10       1.422468847691e-13      -5.126096332232e-12       0.000000000000e+00       5.618603931444e-12       9.237781277690e-13      -5.711809062383e-15 
  125       4.748907099273e-10       1.432370973778e-13      -5.196290687595e-12       0.000000000000e+00       5.495742991931e-12       9.085686285832e-13      -5.639708810877e-15 
  126       4.795461453968e-10       1.441676639080e-13      -5.264771547540e-12       0.000000000000e+00       5.376402327606e-12       8.937048620077e-13      -5.566812252810e-15 
  127       4.842068843654e-10       1.450375087420e-13      -5.331466339628e-12       0.000000000000e+00       5.260345663704e-12       8.791594414956e-13      -5.493440936489e-15 
  128       4.888714063761e-10       1.458456013971e-13      -5.396302663660e-12       0.000000000000e+00       5.147305307454e-12       8.649013006639e-13      -5.419932232886e-15 
  129       4.935382363855e-10       1.465909982093e-13      -5.459209041245e-12       0.000000000000e+00       5.037039655947e-12       8.509030123995e-13      -5.346588306094e-15 
  130       4.982064311829e-10       1.472729695533e-13      -5.520117188895e-12       0.000000000000e+00       4.929514455372e-12       8.371638436530e-13      -5.273516154838e-15 
  131       5.028751414708e-10       1.478908893135e-13      -5.578960056489e-12       0.000000000000e+00       4.824740092607e-12       8.236890727959e-13      -5.200770422630e-15 
  132       5.075434585120e-10       1.484441975485e-13      -5.635671169414e-12       0.000000000000e+00       4.722714780731e-12       8.104827719899e-13      -5.128402997541e-15 
  133       5.122104125463e-10       1.489324021921e-13      -5.690184665992e-12       0.000000000000e+00       4.623424221297e-12       7.975477708978e-13      -5.056462899747e-15 
  134       5.168749712068e-10       1.493550807540e-13      -5.742435334913e-12       0.000000000000e+00       4.526841266605e-12       7.848856203931e-13      -4.984996169084e-15 
