# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.047488858669e-02       1.928454215891e+04 
       3.061953621026e-02       1.921174773906e+04 
       3.076453952078e-02       1.913884952041e+04 
       3.090990735316e-02       1.906587346711e+04 
       3.105564880258e-02       1.899280318420e+04 
       3.120177323392e-02       1.891965836839e+04 
       3.134829029166e-02       1.884645026294e+04 
       3.149520991013e-02       1.877316417255e+04 
       3.164254232435e-02       1.869981193226e+04 
       3.179029808124e-02       1.862642004074e+04 
       3.193848805150e-02       1.855295382678e+04 
       3.208712344193e-02       1.847947952502e+04 
       3.223621580842e-02       1.840595342053e+04 
       3.238577706953e-02       1.833239455479e+04 
       3.253581952072e-02       1.825880988213e+04 
       3.268635584932e-02       1.818519472855e+04 
       3.283739915023e-02       1.811156252356e+04 
       3.298896294235e-02       1.803791390847e+04 
       3.314106118598e-02       1.796426681230e+04 
       3.329370830093e-02       1.789060070390e+04 
       3.344691918573e-02       1.781693917440e+04 
       3.360070923774e-02       1.774326378893e+04 
       3.375509437437e-02       1.766960760066e+04 
       3.391009105543e-02       1.759596740552e+04 
       3.406571630664e-02       1.752232300996e+04 
       3.422198774448e-02       1.744869765684e+04 
       3.437892360241e-02       1.737508039734e+04 
       3.453654275848e-02       1.730150634096e+04 
       3.469486476457e-02       1.722793849766e+04 
       3.485390987725e-02       1.715440001920e+04 
       3.501369909046e-02       1.708088699609e+04 
       3.517425417005e-02       1.700741402753e+04 
       3.533559769037e-02       1.693395726164e+04 
       3.549775307306e-02       1.686054583059e+04 
       3.566074462815e-02       1.678717277920e+04 
       3.582459759772e-02       1.671382730552e+04 
       3.598933820215e-02       1.664052987124e+04 
       3.615499368940e-02       1.656727059087e+04 
       3.632159238732e-02       1.649403536413e+04 
       3.648916375931e-02       1.642083764062e+04 
       3.665773846366e-02       1.634768991935e+04 
       3.682734841669e-02       1.627459631240e+04 
       3.699802686019e-02       1.620153608870e+04 
       3.716980843334e-02       1.612853017408e+04 
       3.734272924958e-02       1.605555222534e+04 
       3.751682697879e-02       1.598260821098e+04 
       3.769214093521e-02       1.590971761163e+04 
       3.786871217166e-02       1.583684989834e+04 
       3.804658358053e-02       1.576403372827e+04 
       3.822580000215e-02       1.569124602756e+04 
       3.840640834122e-02       1.561850192216e+04 
       3.858845769192e-02       1.554580271742e+04 
       3.877199947273e-02       1.547311092653e+04 
       3.895708757151e-02       1.540045470108e+04 
       3.914377850209e-02       1.532783882460e+04 
       3.933213157336e-02       1.525522173881e+04 
       3.952220907202e-02       1.518263631574e+04 
       3.971407646039e-02       1.511005973346e+04 
       3.990780259077e-02       1.503750891627e+04 
